"Billing address","Endereço de Faturamento"
"Shipping address","Endereço de Entrega"
"Shipping method","Método de Entrega"
"Time of Delivery","Horário para Entrega"
"Payment method","Método de Pagamento"
"Order Review","Revisar Pedido"
"First Name","Primeiro Nome"
"Last Name","Sobrenome"
"Email Address","Endereço de Email"
"Company","Empresa"
"Country","País"
"State/Province","Estado/Província"
"Zip/Postal","Cep/Código Postal"
"City","Cidade"
"Address","Endereço"
"Telephone","Telefone"
"Fax","Fax"
"Tax/VAT number","CPF"
"Date of Birth","Data de Aniversário"
"Gender","Sexo"
"Prefix","Prefixo"
"M.I.","Nome do Meio"
"Suffix","Sufixo"
"MM","Mês"
"DD","Dia"
"YYYY","Ano"
"Save in address book","Salvar em "Meus endereços""
"Create an Account","Criar Conta"
"Password","Senha"
"Confirm Password","Confirmar Senha"
"Ship to this address","Enviar para este endereço"
"Comments","Comentários"
"Already registered? Please log in here","Já está registrado? Faça seu login aqui."
"Customer Login","Login para clientes"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Terms and Conditions</a>","Eu aceito os <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Termos e Condições</a>"
"Login","Login"
"Forgot Your Password?","Esqueceu sua senha?"
"Place Order","Finalizar Pedido"
"Subscribe to newsletter","Assinar newsletter"
"* This field is required","* Este campo é requerido"
"* Please select an option","* Por favor selecione uma opção"
"* This checkbox is required","* Este checkbox é requerido"
"*Between ","*Entre "
" and "," e "
"characters allowed","caracteres permitidos"
"* Checks allowed Exceeded","* Verificações permitidas excedidas"
"* Please select ","* Por favor selecione "
" options"," opções"
"* Your field is not matching","* O campo não está combinando"
"* Invalid phone number","* Número de telefone inválido"
"* Invalid email address","* Endereço de email inválido"
"* Invalid date, must be in YYYY-MM-DD format","* Data inválida, deve estar no formato DD-MM-AAAA"
"* Numbers only","* Apenas números"
"* This user is available","* Este usuário esta disponível"
"* Loading, please wait","* Carregando, por favor aguarde"
"* This user is already taken","* Este usuário já está sendo usado"
"* This name is already taken","* Este nome já está sendo usado"
"* This name is available","* Este nome esta disponível"
"* Letters only","* Apenas letras"
"* You must have a firstname and a lastname","* Você deve ter um primeiro nome e um sobrenome"
"Check this checkbox if you want to add gift messages.","Marque esta caixa de seleção se você quiser adicionar mensagens ao presente."
"Enter a gift message for entire order.","Digite uma mensagem de presente para o pedido inteiro."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Você pode deixar este campo em branco se você não quiser adicionar uma mensagem de presente para o pedido inteiro."
"From","De"
"To","Para"
"Message","Mensagem"
"Item %d of %d","Item %d de %d"
"Updating information, please wait...","Atualizando informação ..."
"General","Geral"
"Enable LightCheckout","Habilitar LightCheckout"
"Default Country","País Padrão"
"Default Shipping Method","Método de Entrega Padrão"
"Default Payment Method","Método de Pagamento Padrão"
"Page Title","Título da Página"
"Page Content","Conteudo da Página"
"Enable Different Shipping Address","Habilitar Diferentes Endereços para Envio"
"Enable Delivery Date","Habilitar Data de Entrega"
"Enable GeoIP for Country","Habilitar GeoIP para País"
"Registration","Inscrição"
"Checkout Mode","Habilitar Checkout"
"Registered and guest customers","Clientes registrados e visitantes"
"Only registered customers","Apenas clientes registrados"
"Only guest customers","Apenas clientes visitantes"
"Enable/Disable Fields","Habilitar/Desabilitar Campos"faturamento
"Region","Região"
"Zip/Postcode","CEP/Código Postal"
"Newsletter Checkbox","Newsletter Checkbox"
"Sort Address Fields","Sort Address Fields"
"Company Order","Ordem para Empresa"
"Country Order","Ordem para País"
"City Order","Ordem para Cidade"
"Telephone Order","Ordem para Telefone"
"Fax Order","Ordem para Fax"
"State/Region Order","Ordem para Estado/Região"
"Address Order","Ordem para Endereço"
"Zip/Postcode Order","Ordem para CEP/Código Postal"
"Terms & Conditions","Termos e Condições"
"Enable Terms and Conditions","Habilitar Termos e Condições"
"Terms and Conditions Text","Texto do Termos e Conditições"
"Popup Width in Pixels","Popup - Largura em Pixels"
"Popup Height in Pixels","Popup - Altura em Pixels"
"Enable","Habilitar"
"Disable","Desabilitar"
"Required","Requerido"
"Optional","Opcional"
